,City,Latitude,Longitude,Temperature (C),Cloud Cover,Humidity,Wind Speed (MPH),Country
0,Sedalia,38.70446,-93.228256,24.78,1,31,8.2,US
1,Jiangjin,29.29056,106.254173,22.0,0,68,3.0,CN
2,Chemmumiahpet,15.89794,79.321289,22.13,0,88,1.41,IN
3,Droichead Nua,53.181938,-6.79667,7.0,90,100,3.6,IE
4,Supaul,26.116671,86.599998,21.68,20,81,3.41,IN
5,North Shore,-31.40237,152.901855,14.0,0,100,5.21,AU
6,Jacksonville,34.754051,-77.430237,16.36,1,44,3.1,US
7,Jagdispur,25.48333,84.416672,23.0,40,83,1.06,IN
8,Sinnar,19.85,74.0,16.23,0,98,1.61,IN
9,Bongaigaon,26.47822,90.556763,17.08,92,96,2.16,IN
10,Cabaiguan,22.07889,-79.499168,31.0,75,45,6.7,CU
11,Lagoa Vermelha,-28.208611,-51.525829,25.88,0,54,2.16,BR
12,Shiogama,38.316669,141.033325,8.0,40,42,1.0,JP
13,Ginosa,40.58012,16.75609,15.0,0,77,1.5,IT
14,Yenakiyeve,48.233311,38.211369,13.23,8,59,3.71,UA
15,Beijing,39.907501,116.397232,12.0,0,30,3.0,CN
16,Hagere Maryam,5.63333,38.23333,15.38,92,98,0.86,ET
17,Vadodara,22.299999,73.199997,24.13,0,93,2.81,IN
18,Mafinga,-7.25,35.066669,17.78,56,95,2.31,TZ
19,Khash,28.221069,61.21582,8.73,0,33,1.31,IR
20,El Cajon,32.794769,-116.962532,20.91,5,41,5.1,US
21,Jatoba,-9.18306,-38.26889,28.23,92,54,5.26,BR
22,Kabin Buri,13.95114,101.71769,23.98,8,94,1.81,TH
23,Cauquenes,-35.967098,-72.322479,12.88,0,82,3.86,CL
24,Tailai,46.383331,123.400002,4.48,92,73,7.56,CN
25,Ahmadnagar,19.08333,74.73333,17.88,0,78,1.81,IN
26,Metapan,14.33333,-89.449997,28.0,40,54,1.86,SV
27,Nokha,27.6,73.416672,22.53,0,62,3.91,IN
28,Obrenovac,44.654861,20.200171,13.46,0,62,1.5,RS
29,Hua Hin,12.57065,99.958763,28.68,8,100,4.51,TH
30,Oelde,51.816669,8.15,11.0,0,93,2.1,DE
31,Lakewood,41.481991,-81.798187,12.76,90,47,5.1,US
32,Tokuyama,34.049999,131.816666,6.18,8,87,1.51,JP
33,Daud Khel,32.874981,71.570122,9.93,0,93,1.11,PK
34,Tienen,50.807442,4.9378,9.2,80,93,1.5,BE
35,Fortaleza,-3.71722,-38.54306,27.0,75,78,2.1,BR
36,Bochum,51.48333,7.21667,8.97,8,87,2.1,DE
37,Gowurdak,37.812439,66.046562,5.63,0,60,1.36,AF
38,Kalyan,19.25,73.150002,28.0,20,74,1.06,IN
39,Orland Park,41.63031,-87.853943,18.24,40,37,3.6,US
40,Bidar,17.9,77.550003,20.73,24,75,1.36,IN
41,Kushchevskaya,46.556389,39.638611,12.88,0,61,3.91,RU
42,Lishu,43.304722,124.327782,2.83,0,50,5.66,CN
43,Ghazipur,25.58333,83.566673,24.23,8,60,1.16,IN
44,El Bauga,18.261959,33.908119,24.78,0,16,5.01,SD
45,Owosso,42.997799,-84.176643,12.61,40,35,5.1,US
46,Mansalay,12.52044,121.438507,23.03,44,95,1.21,PH
47,Chuhar Kana,31.75,73.800003,22.0,40,64,3.1,PK
48,Abovyan,40.26741,44.62656,11.0,8,62,2.1,AM
49,Catu,-12.35306,-38.378891,27.0,75,78,4.6,BR
50,Songling,31.1933,120.717583,17.0,0,51,5.0,CN
51,Minusinsk,53.710281,91.6875,-1.0,0,80,3.0,RU
52,Mount Vernon,48.421219,-122.334053,11.24,1,58,5.1,US
53,Cholet,47.066669,-0.88333,11.0,64,87,1.5,FR
54,Dijkot,31.216669,72.98333,18.38,0,93,3.56,PK
55,Babruysk,53.150002,29.233334,6.83,0,62,7.06,BY
56,Valkeakoski,61.26421,24.031219,-3.0,0,86,1.11,FI
57,Monreale,38.080051,13.28854,16.0,0,87,3.1,IT
58,Tetovo,42.010559,20.97139,11.0,0,76,2.1,MK
59,Kampong Spoe,11.45,104.533333,27.08,92,72,2.51,KH
60,Nueve de Julio,-35.44437,-60.883129,22.03,8,96,2.21,AR
61,Minchinabad,30.163,73.568542,20.58,0,81,3.06,PK
62,Jaguariuna,-22.705561,-46.985828,27.0,0,42,4.1,BR
63,Rawicz,51.609459,16.858521,12.0,0,66,2.6,PL
64,Phalia,32.429729,73.577454,17.28,92,92,3.31,PK
65,Zunheboto,25.966669,94.51667,15.08,64,85,0.41,IN
66,Conceicao do Jacuipe,-12.31667,-38.76667,24.23,80,83,3.46,BR
67,Trikala,39.555279,21.7675,8.18,0,86,0.86,GR
68,Finote Selam,10.7,37.26667,11.38,56,63,1.31,ET
69,Shelby,35.292351,-81.535652,19.11,1,43,3.1,US
70,Bregenz,47.503109,9.7471,10.84,0,62,2.1,AT
71,Chatra,24.216669,84.866669,23.0,20,69,4.1,IN
72,Rengo,-34.416672,-70.866669,11.0,90,100,5.7,CL
73,Dera Ghazi Khan,30.056141,70.634773,21.18,0,62,5.46,PK
74,Tarime,-1.35,34.366669,19.08,48,100,0.51,TZ
75,Dongfeng,42.640308,125.511757,0.18,0,63,5.51,CN
76,Gap,44.566669,6.08333,3.98,92,100,1.66,FR
77,Pristina,42.672722,21.16688,11.0,0,71,1.0,RS
78,Sayanogorsk,53.087502,91.399719,-2.73,76,72,1.66,RU
79,Mirnyy,62.764091,40.33746,-1.23,32,79,3.21,RU
80,Vlissingen,51.442501,3.57361,10.2,90,87,1.5,NL
81,Zhoucheng,35.91222,116.311668,15.23,92,48,3.41,CN
82,Peddapalli,18.616671,79.366669,24.98,0,53,3.76,IN
83,Ciudad Real,38.98333,-3.93333,6.33,36,83,5.81,ES
84,Valenciennes,50.349998,3.53333,9.52,8,93,2.6,FR
85,San Onofre,9.73586,-75.52626,28.18,24,89,2.56,CO
86,Bouar,5.93404,15.59599,20.18,8,83,1.26,CF
87,Seremban,2.7297,101.938103,26.63,75,83,0.96,MY
88,Kizilcahamam,40.469719,32.650558,11.0,75,76,1.0,TR
89,Khowai,24.1,91.633331,22.18,36,88,1.61,IN
90,Port-au-Prince,18.539169,-72.334999,28.98,48,67,2.56,HT
91,Mbake,14.79032,-15.90803,32.0,0,31,2.1,SN
92,Hodal,27.9,77.366669,20.83,56,81,5.21,IN
93,Rheinfelden (Baden),47.566669,7.8,12.98,0,58,2.6,DE
94,Nyaunglebin,17.950001,96.73333,26.53,20,65,0.61,MM
95,Mamfe,5.754,9.3123,19.48,0,91,0.91,NG
96,Vikhorevka,56.120098,101.163597,-1.0,20,68,2.0,RU
97,Richmond,37.74786,-84.294647,17.59,1,36,4.1,US
98,Plottier,-38.966671,-68.23333,15.88,8,21,10.06,AR
99,Forest Hills,42.959469,-85.489754,10.76,1,37,5.7,US
100,Wayne,40.925381,-74.276543,9.46,20,29,3.6,US
101,Pace,30.59936,-87.161079,24.19,1,38,4.6,US
102,Celso Ramos,-27.634439,-51.336391,26.38,0,62,1.46,BR
103,Gijon,43.535728,-5.66152,10.0,75,87,3.1,ES
104,Drobeta-Turnu Severin,44.631939,22.656111,15.03,0,78,1.06,RO
105,Kharagpur,22.33333,87.333328,24.93,32,90,3.06,IN
106,Mangaratiba,-22.959721,-44.040562,26.43,20,69,5.1,BR
107,Hereford,34.81506,-102.397697,33.0,1,8,9.3,US
108,Ashqelon,31.66926,34.571491,16.0,20,82,1.5,IL
109,Papa,47.33004,17.4674,12.79,0,51,2.1,HU
110,Yelan,50.949001,43.737808,7.38,36,77,7.26,RU
111,Nitra,48.307629,18.08453,11.07,0,71,1.0,SK
112,Ebolowa,2.9,11.15,19.88,12,96,0.86,CM
113,Karaj,35.835499,51.0103,17.48,40,22,4.1,IR
114,Waukegan,42.363628,-87.844788,12.92,1,61,5.1,US
115,Someshwar,13.5,75.066673,26.0,20,69,1.5,IN
116,Orland Park,41.63031,-87.853943,18.24,40,37,3.6,US
117,Montreuil,48.864151,2.44322,12.83,0,62,2.6,FR
118,Anakapalle,17.683331,83.01667,25.18,48,100,3.11,IN
119,Akaltara,22.01667,82.433327,21.58,56,78,1.96,IN
120,Changling,44.26532,124.00045,2.43,0,60,4.31,CN
121,Mubende,0.56055,31.389999,15.88,68,95,1.16,UG
122,Hajipur,25.683331,85.216667,23.0,40,83,2.36,IN
123,Chelghoum el Aid,36.162861,6.16651,10.84,40,50,5.1,DZ
124,Lelydorp,5.7,-55.23333,27.68,56,92,7.41,SR
125,Jinan,36.668331,116.997223,14.18,92,49,1.91,CN
126,Chimichagua,9.25778,-73.812279,27.93,44,79,1.06,CO
127,Pagaralam,-4.01667,103.26667,20.73,68,92,0.71,ID
128,Groznyy,43.308331,45.700279,9.73,32,80,0.91,RU
129,Boulder,40.014992,-105.270554,24.9,1,9,9.8,US
130,Pruszkow,52.170719,20.81214,11.0,0,76,5.1,PL
131,Wuyang,31.9925,116.247223,18.38,92,93,6.91,CN
132,Akbarabad,29.246401,52.779301,13.0,90,87,2.1,IR
133,Maihar,24.26667,80.75,19.53,44,78,1.01,IN
134,Prince Albert,53.200081,-105.767723,-1.0,90,54,2.1,CA
135,Guntur,16.299999,80.449997,22.53,0,92,2.01,IN
136,Minas,21.48333,-77.616669,23.0,75,73,6.7,CU
137,Bajil,15.05835,43.285061,24.18,0,87,1.06,YE
138,Umm Qasr,30.040541,47.916771,23.53,0,73,4.1,IR
139,Butare,-2.59667,29.739441,15.73,76,96,1.16,RW
140,Atrauli,28.033331,78.283333,21.38,48,85,5.06,IN
141,Peekskill,41.290089,-73.920418,9.17,75,39,4.1,US
142,Atlacomulco,19.798889,-99.874443,19.0,75,45,7.2,MX
143,Susangerd,31.560801,48.183102,24.0,75,47,5.1,IR
144,Emsdetten,52.183331,7.53333,9.54,0,81,2.6,DE
145,Dibai,28.216667,78.25,21.38,48,85,5.06,IN
146,Memmingen,47.983719,10.18527,12.6,0,62,2.1,DE
147,Beypazari,40.1675,31.92111,11.13,56,89,1.16,TR
148,Tuban,-6.8976,112.064903,27.98,48,100,5.11,ID
149,Rath,25.58333,79.566673,21.13,88,82,2.96,IN
150,Saintes,45.75,-0.63333,11.65,0,81,4.6,FR
151,Ciudad Hidalgo,19.683331,-100.566673,24.0,75,33,5.7,MX
152,North Shore,-31.40237,152.901855,14.0,0,100,5.21,AU
153,Bountiful,40.889389,-111.880768,18.28,1,36,6.2,US
154,Al Mukalla,14.54248,49.124241,25.73,80,100,2.96,SO
155,Dorohoi,47.950001,26.4,14.0,0,62,1.31,RO
156,Barrie,44.400108,-79.666344,3.68,90,98,3.6,CA
157,Skikda,36.876171,6.90921,11.28,8,73,0.61,DZ
158,Llanelli,51.68195,-4.16191,8.31,44,87,1.0,GB
159,Tupa,-21.934719,-50.513611,29.23,8,40,2.91,BR
160,Gent,51.049999,3.71667,10.22,0,93,2.6,BE
161,Aranjuez,40.031078,-3.60246,10.43,75,57,6.7,ES
162,Rock Hill,34.92487,-81.025078,18.34,1,39,2.6,US
163,Fukuoka-shi,33.606392,130.41806,12.66,40,76,3.46,JP
164,Basirpur,30.583179,73.829002,18.88,0,88,3.21,PK
165,Alba Iulia,46.066669,23.58333,12.0,0,76,2.1,RO
166,Tunduma,-9.3,32.76667,17.43,24,93,2.36,TZ
167,Wardenburg,53.066669,8.2,7.29,75,87,5.1,DE
168,Chodavaram,17.83333,82.949997,19.28,56,92,0.96,IN
169,Skien,59.209621,9.60897,3.0,0,51,3.6,NO
170,San Jose de las Lajas,22.96139,-82.151108,28.0,75,69,6.2,CU
171,Manmad,20.25,74.449997,19.18,0,72,3.46,IN
172,Wakefield,53.683311,-1.49768,5.41,90,100,4.6,GB
173,Tooele,40.530781,-112.298279,19.76,1,36,6.2,US
174,Junagadh,21.51667,70.466667,24.18,0,94,3.26,IN
175,Konigslutter am Elm,52.25,10.81667,8.0,40,93,5.7,DE
176,Rio Guayabal de Yateras,20.366671,-75.01667,26.38,44,68,0.56,CU
177,Kunwi,36.234718,128.572784,7.0,0,56,0.5,KR
178,Khunti,23.08333,85.283333,16.38,8,96,1.11,IN
179,Gameleira,-8.58444,-35.386669,22.88,92,92,2.11,BR
180,Afif,23.9065,42.91724,19.38,0,58,5.81,SA
181,Gilroy,37.005779,-121.568283,17.86,1,52,8.7,US
182,Kannapolis,35.487358,-80.621727,17.8,1,40,2.16,US
183,Groznyy,43.308331,45.700279,9.73,32,80,0.91,RU
184,Osan,37.152222,127.070557,4.74,20,80,1.5,KR
185,Khujayli,42.400429,59.460049,7.0,0,33,3.1,UZ
186,Saint-Jean-sur-Richelieu,45.31678,-73.265862,6.68,75,45,3.6,CA
187,Kulp,38.497219,41.012218,11.0,75,93,0.5,TR
188,Waterloo,42.49276,-92.342957,13.65,75,51,6.7,US
189,Marche-en-Famenne,50.22678,5.34416,8.47,0,87,2.1,BE
190,Plasencia,40.031158,-6.08845,6.53,80,90,2.46,ES
191,Gambaru,12.37066,14.21731,23.73,0,18,3.46,CM
192,Bistrita,47.13316,24.500111,8.18,88,92,0.86,RO
193,Reus,41.15612,1.10687,10.0,40,76,3.1,ES
194,Traralgon,-38.183331,146.533325,17.88,92,77,0.76,AU
195,Harburg,53.466671,9.98333,6.07,12,87,5.7,DE
196,Nay Pyi Taw,19.745001,96.129723,22.73,0,69,0.96,MM
197,San Mariano,7.5,126.0,24.0,40,100,1.5,PH
198,Leeuwarden,53.201389,5.80859,7.26,0,93,6.7,NL
199,Piaseczno,52.081402,21.02397,11.0,0,76,5.1,PL
200,Lipetsk,52.603111,39.570759,0.28,0,89,6.56,RU
201,Enkhuizen,52.703331,5.29167,9.24,92,93,6.7,NL
202,Montlucon,46.333328,2.6,10.68,88,72,3.56,FR
203,Newbury,51.40033,-1.32059,8.38,90,93,4.6,GB
204,Haripur,33.999969,72.93409,16.0,0,82,1.86,PK
205,Goroka,-6.08336,145.387344,14.88,92,100,0.41,PG
206,Christchurch,-43.533329,172.633331,5.0,44,80,2.6,NZ
207,Morristown,36.213982,-83.294891,18.46,1,45,1.5,US
208,Presidencia Roque Saenz Pena,-26.785219,-60.438759,32.48,0,53,7.96,AR
209,Saint-Laurent-du-Maroni,5.5,-54.033329,26.93,92,70,2.26,SR
210,Huber Heights,39.843948,-84.124657,16.71,40,39,9.8,US
211,Lebowakgomo,-24.200001,29.5,16.0,32,72,2.6,ZA
212,Kahului,20.89472,-156.470001,24.61,75,78,10.8,US
213,Bibiani,6.46346,-2.31938,26.08,8,73,4.06,GH
214,Nueva Gerona,21.883329,-82.800003,27.48,44,87,0.96,CU
215,Malangwa,26.856791,85.558113,19.58,44,79,2.11,NP
216,Vyshniy Volochek,57.591251,34.564529,-4.63,0,79,1.31,RU
217,Oume,6.38309,-5.41759,25.18,32,89,2.76,CI
218,Sihora,23.48333,80.116669,27.0,64,39,3.01,IN
219,Kamina,-8.73861,24.990561,21.18,92,97,0.91,CD
220,Moirang,24.5,93.76667,18.23,88,89,0.71,IN
221,Goulburn,-34.75,149.716675,14.28,0,77,2.51,AU
222,Durg,21.183331,81.283333,20.38,32,90,1.41,IN
223,Chintamani,13.4,78.066673,22.0,0,100,2.1,IN
224,Jingmen,31.033609,112.20472,19.18,92,99,1.66,CN
225,Tokmak,47.251389,35.705833,15.58,80,52,1.21,UA
226,Charqueadas,-29.95472,-51.625278,29.5,0,58,3.6,BR
227,Zima,53.9202,102.044197,-3.93,76,89,1.31,RU
228,Zalantun,48.0,122.716667,2.78,80,78,3.76,CN
229,Sint-Gillis-Waas,51.219139,4.12374,10.24,75,100,2.6,BE
230,Burien,47.470379,-122.346786,10.44,90,62,4.1,US
231,Kleve,51.783329,6.15,10.01,8,100,3.56,DE
232,Falticeni,47.450001,26.299999,14.0,0,62,1.36,RO
233,Rosarito,32.333328,-117.033333,21.58,40,72,5.1,MX
234,Dax,43.71032,-1.05366,9.74,100,93,0.5,FR
235,Port Alfred,-33.590569,26.891041,19.18,12,93,6.11,ZA
236,DeSoto,32.589859,-96.856949,26.26,1,30,5.1,US
237,Bhimbar,32.975681,74.079262,19.0,80,88,2.1,PK
238,Belleville,44.178761,-77.370529,4.0,90,86,7.7,CA
239,Onda,39.966671,-0.25,14.0,20,47,8.7,ES
240,Hingoli,19.716669,77.150002,19.48,24,85,1.21,IN
241,Ende,-8.8432,121.6623,27.33,0,100,1.36,ID
242,Cali,3.43722,-76.522499,28.0,75,61,2.6,CO
243,General Escobedo,25.816669,-100.333328,21.04,75,60,5.1,MX
244,Chepo,9.16667,-79.099998,25.43,64,95,3.01,PA
245,Nay Pyi Taw,19.745001,96.129723,22.73,0,69,0.96,MM
246,Bad Oldesloe,53.811668,10.37417,5.52,40,80,4.1,DE
247,Karacabey,40.215248,28.40378,16.58,92,71,2.41,TR
248,Goiana,-7.56056,-35.002499,24.46,75,83,2.6,BR
249,Novorossiysk,44.723888,37.770832,15.0,0,62,7.0,RU
